Edge ID,Capacity (vehicles/hour)
:10248130239_11,20.0
:10248130239_6,20.0
:10248130239_7,20.0
:10248130239_8,20.0
:10248130255_0,36.666666666666664
:10248130255_1,36.666666666666664
:10249424361_0,30.0
:10249424363_0,20.0
:10249424363_1,73.33333333333333
:10249424367_0,20.0
:10249424367_1,30.0
:10249424368_0,20.0
:10249424368_1,73.33333333333333
:10249424368_3,30.0
:10249424368_4,20.0
:10249424369_0,20.0
:10249424369_1,20.0
:10249424369_2,20.0
:10249424369_3,30.0
:10249424370_0,30.0
:10249424370_1,30.0
:10249424375_0,20.0
:10249424375_1,110.0
:10249424377_0,20.0
:10249424377_1,20.0
:10249424377_2,20.0
:10249424377_3,20.0
:10258139925_0,20.0
:10258139925_1,110.0
:10258230188_0,20.0
:10258230188_1,30.0
:10258230189_0,20.0
:10258230189_1,30.0
:10258402960_0,30.0
:10272015730_0,30.0
:10272015730_1,30.0
:10274458474_0,20.0
:10274458474_1,73.33333333333333
:10274458474_3,30.0
:10274458474_4,20.0
:10564194243_0,20.0
:10564194261_0,110.0
:10564194261_3,20.0
:10564194261_4,20.0
:10564194261_5,36.666666666666664
:10564194263_0,20.0
:10564194263_1,36.666666666666664
:10564194264_0,20.0
:10564194264_1,36.666666666666664
:10564194264_2,110.0
:10564194264_5,20.0
:10634742644_0,20.0
:10634742644_1,20.0
:10634742644_7,20.0
:10634742644_2,20.0
:10634742644_3,20.0
:10634742644_4,20.0
:10634742644_5,20.0
:10634742644_6,20.0
:10634742646_0,20.0
:10634742646_1,20.0
:10634742646_2,20.0
:10634742646_3,20.0
:10634742646_4,20.0
:10634742646_5,20.0
:10634742646_6,20.0
:10634742646_7,20.0
:10634742646_8,20.0
:10634742649_0,20.0
:10634742649_1,20.0
:10634742649_2,20.0
:10634742649_3,20.0
:10634742649_4,30.0
:10634742649_5,30.0
:10634742649_6,20.0
:10634742649_7,20.0
:10634742650_0,20.0
:10634742650_1,20.0
:10634742650_2,20.0
:10634742650_3,20.0
:10634742650_4,30.0
:10634742650_5,30.0
:10634742650_6,20.0
:10634742650_7,20.0
:10634742653_0,20.0
:10634742653_1,20.0
:10634742653_2,20.0
:10634742653_3,20.0
:10634742653_4,20.0
:10634742653_5,20.0
:10634742653_6,20.0
:10634742653_7,20.0
:10634742653_8,20.0
:10634742654_0,20.0
:10634742658_0,20.0
:10634742658_1,20.0
:10634742658_2,20.0
:10634742658_9,20.0
:10634742658_10,20.0
:10634742658_3,20.0
:10634742658_4,20.0
:10634742658_5,20.0
:10634742658_6,20.0
:10634742658_7,20.0
:10634742658_8,20.0
:10634742658_11,20.0
:10634742660_0,20.0
:10634742660_1,20.0
:10634742660_2,20.0
:10634742660_3,20.0
:10634742660_4,20.0
:10634742660_5,20.0
:10634742660_9,20.0
:10634742660_6,20.0
:10634742660_7,20.0
:10634742660_8,20.0
:10634742660_10,20.0
:10634742660_11,20.0
:10634742661_0,20.0
:10634742668_0,20.0
:10634742672_0,36.666666666666664
:10634742672_1,20.0
:10634742672_7,20.0
:10634742672_2,20.0
:10634742672_3,20.0
:10634742672_4,20.0
:10634742672_5,20.0
:10634742672_6,36.666666666666664
:10634742673_0,20.0
:10653141706_0,36.666666666666664
:10653141709_0,30.0
:10653141710_0,30.0
:10683794394_0,20.0
:10683794394_1,20.0
:10683794394_2,20.0
:10683794394_3,20.0
:1069218072_0,36.666666666666664
:1069218098_0,36.666666666666664
:10722780160_0,20.0
:10722780275_0,30.0
:10722780276_0,30.0
:10722780297_0,20.0
:10722780297_1,20.0
:10724048176_0,20.0
:10724048176_1,20.0
:10751370354_0,30.0
:10751370359_0,20.0
:10751370359_1,73.33333333333333
:10751370371_0,30.0
:10751370371_1,30.0
:10751908779_0,20.0
:10815090646_0,20.0
:10815090652_0,20.0
:10815090652_1,20.0
:10815090652_2,20.0
:10815090652_3,20.0
:10815090652_7,20.0
:10815090652_4,20.0
:10815090652_5,20.0
:10815090652_6,20.0
:10815090653_0,20.0
:10815090653_1,20.0
:10815090653_2,20.0
:10815090653_3,20.0
:10815090653_4,20.0
:10815090653_5,20.0
:10815090653_9,20.0
:10815090653_6,20.0
:10815090653_7,20.0
:10815090653_8,20.0
:10815090653_10,20.0
:10815090653_11,20.0
:10815090725_0,20.0
:10815090726_0,20.0
:10815090726_1,20.0
:10815090726_2,20.0
:10815090726_3,20.0
:10815090726_4,20.0
:10815090726_5,20.0
:10815090726_6,20.0
:10815090726_7,20.0
:10832501696_0,20.0
:10832501696_1,20.0
:10832501696_2,30.0
:10832501696_3,73.33333333333333
:10832501698_0,20.0
:10832501698_1,20.0
:10837525538_0,20.0
:10837525538_1,36.666666666666664
:10837525538_2,73.33333333333333
:10837525538_4,20.0
:10837525539_0,20.0
:10837525539_1,146.66666666666666
:10837525539_5,73.33333333333333
:10837525539_7,40.0
:10837525540_0,60.0
:10837525540_3,73.33333333333333
:10837525540_5,146.66666666666666
:10837525540_9,20.0
:10837525541_0,20.0
:10837525541_1,73.33333333333333
:10837525541_3,30.0
:10837525541_4,20.0
:10837525546_0,20.0
:10837525546_1,20.0
:10837525546_2,20.0
:10837525546_3,73.33333333333333
:10837525555_0,73.33333333333333
:10837525555_2,36.666666666666664
:10837525558_0,36.666666666666664
:10837525558_1,20.0
:10837525558_2,20.0
:10837525558_3,73.33333333333333
:10837525587_0,73.33333333333333
:10837525588_0,73.33333333333333
:10837708155_0,20.0
:10837708156_0,20.0
:10840926373_0,20.0
:10840926378_0,20.0
:10840926378_1,20.0
:10840926378_2,20.0
:10840926378_3,20.0
:10840926378_4,20.0
:10840926378_5,20.0
:10840926378_9,20.0
:10840926378_6,20.0
:10840926378_7,20.0
:10840926378_8,20.0
:10840926378_10,20.0
:10840926378_11,20.0
:10840926391_0,20.0
:10840990559_0,20.0
:10854091066_0,30.0
:11080908185_0,20.0
:11080908203_0,30.0
:11080908203_1,20.0
:11080908203_6,20.0
:11080908203_2,20.0
:11080908203_3,20.0
:11080908203_4,30.0
:11080908203_5,20.0
:11080908203_7,20.0
:11081082991_0,30.0
:11081082993_0,30.0
:11081082993_1,30.0
:1116406966_0,20.0
:1116406966_1,36.666666666666664
:1116406966_2,20.0
:1116406966_3,60.0
:1116406966_5,20.0
:1116406966_6,20.0
:1116406981_0,20.0
:1116406981_1,30.0
:1116406981_2,20.0
:1116406981_3,20.0
:1116406981_4,36.666666666666664
:1116406981_5,20.0
:1116406981_6,30.0
:1116406981_7,20.0
:1116406981_8,20.0
:1116406991_0,30.0
:1116406991_1,20.0
:1116406991_2,20.0
:1116406991_3,20.0
:1116406991_4,30.0
:1116406991_5,20.0
:1116406991_6,20.0
:1116406991_7,73.33333333333333
:1116406991_9,20.0
:1116407008_0,20.0
:1116407008_1,20.0
:1116407008_2,20.0
:1116407008_3,20.0
:1116407008_4,30.0
:1116407008_5,20.0
:1116407008_9,20.0
:1116407008_6,30.0
:1116407008_7,20.0
:1116407008_8,20.0
:1116407008_10,20.0
:1116407008_11,20.0
:1116407039_0,20.0
:1116407039_1,20.0
:1116407039_2,20.0
:1116407039_3,20.0
:1116407039_4,36.666666666666664
:1116407039_5,20.0
:1116407039_6,20.0
:1116407039_7,20.0
:1116407039_8,20.0
:1116407046_0,20.0
:1116407046_1,20.0
:1116407046_2,20.0
:1116407046_3,36.666666666666664
:1116407049_0,20.0
:1116407049_1,20.0
:1116407049_6,20.0
:1116407049_2,20.0
:1116407049_3,30.0
:1116407049_4,20.0
:1116407049_5,30.0
:1116407051_0,30.0
:1116407051_1,20.0
:1116407051_2,30.0
:1116407063_0,30.0
:1116407063_1,20.0
:1116407063_2,20.0
:1116407063_6,20.0
:1116407063_7,20.0
:1116407063_3,20.0
:1116407063_4,30.0
:1116407063_5,20.0
:1116407063_8,20.0
:1116407070_0,30.0
:1116407070_1,20.0
:1116407070_6,20.0
:1116407070_2,20.0
:1116407070_3,20.0
:1116407070_4,30.0
:1116407070_5,20.0
:1116407070_7,20.0
:1116407072_0,73.33333333333333
:1116407080_0,20.0
:1116407080_1,20.0
:1116407080_2,30.0
:1116407084_0,30.0
:1116407084_1,20.0
:1116407084_2,20.0
:1116407084_6,20.0
:1116407084_7,20.0
:1116407084_3,30.0
:1116407084_4,30.0
:1116407084_5,20.0
:1116407084_8,20.0
:1116407103_0,40.0
:1116407103_2,73.33333333333333
:11177612118_0,30.0
:11177612118_1,20.0
:11177612118_2,20.0
:11177612118_3,20.0
:11335456555_0,20.0
:11335456555_1,20.0
:11335456555_4,20.0
:11335456555_2,20.0
:11335456555_3,20.0
:11335456556_0,20.0
:11335456556_1,20.0
:11335456556_2,20.0
:11335456556_9,20.0
:11335456556_10,20.0
:11335456556_3,20.0
:11335456556_4,20.0
:11335456556_5,20.0
:11335456556_11,20.0
:11335456556_6,20.0
:11335456556_7,20.0
:11335456556_8,20.0
:11335456557_0,30.0
:11335456557_1,20.0
:11335456557_2,20.0
:11335456557_3,20.0
:11335456558_0,20.0
:11335456558_1,20.0
:11335456558_4,20.0
:11335456558_2,20.0
:11335456558_3,20.0
:11380282343_0,20.0
:11380282343_1,73.33333333333333
:11380282343_3,20.0
:11380282343_4,20.0
:11380282343_5,20.0
:11380282343_6,20.0
:11380282343_7,20.0
:11380282343_8,20.0
:11380282343_9,20.0
:11380282352_0,20.0
:11380282352_1,20.0
:11380282352_2,20.0
:11380282352_3,20.0
:11380282352_4,20.0
:11380282352_5,20.0
:11380282352_6,20.0
:11380282352_7,20.0
:11380282353_0,20.0
:11380282353_1,73.33333333333333
:11380282353_3,20.0
:11380282353_4,20.0
:11380282353_5,20.0
:11380282353_6,20.0
:11380282353_7,20.0
:11380282353_8,20.0
:11380282353_9,20.0
:11380282358_0,20.0
:11380282358_1,73.33333333333333
:11380282358_3,20.0
:11380282358_4,30.0
:11380282358_5,20.0
:11380282358_6,20.0
:11380282358_7,20.0
:11380282358_8,30.0
:11380282358_9,20.0
:11380282363_0,20.0
:11380282363_1,73.33333333333333
:11380282363_3,20.0
:11380282363_4,20.0
:11380282363_5,20.0
:11380282363_6,20.0
:11380282363_7,20.0
:11380282363_8,20.0
:11380282363_9,20.0
:11380282366_0,20.0
:11380282366_1,73.33333333333333
:11380282366_3,20.0
:11380282366_4,20.0
:11380282366_5,20.0
:11380282366_6,20.0
:11380282366_7,20.0
:11380282366_8,20.0
:11380282366_9,20.0
:11380282367_0,20.0
:11380282367_1,36.666666666666664
:11380282367_2,20.0
:11380282367_3,73.33333333333333
:11380282367_5,20.0
:11380282367_6,20.0
:11380282367_11,20.0
:11380282367_12,20.0
:11380282367_7,20.0
:11380282367_8,73.33333333333333
:11380282367_10,20.0
:11380282367_13,20.0
:11380315983_0,20.0
:11380315983_1,20.0
:11380315984_0,73.33333333333333
:11380315984_2,20.0
:11382917943_0,20.0
:11382917943_1,20.0
:11382917943_2,20.0
:11382917943_3,20.0
:11382917943_4,36.666666666666664
:11382917943_5,20.0
:11382917943_6,20.0
:11382917943_7,20.0
:11382917943_8,20.0
:11382917945_0,20.0
:11382917945_1,36.666666666666664
:11382917945_2,20.0
:11382917945_3,20.0
:11382917945_4,20.0
:11382917945_5,20.0
:11382917945_6,20.0
:11382917945_7,20.0
:11382917945_8,20.0
:11382917949_0,20.0
:11382917949_1,36.666666666666664
:11382917949_2,20.0
:11382917949_3,20.0
:11382917949_4,20.0
:11382917949_5,20.0
:11382917949_6,20.0
:11382917949_7,20.0
:11382917949_8,20.0
:11382917951_0,30.0
:11382917951_1,36.666666666666664
:11382917952_0,20.0
:11382917952_1,36.666666666666664
:11382917952_2,73.33333333333333
:11382917952_4,20.0
:11382917953_0,36.666666666666664
:11382917953_1,20.0
:11382917953_2,20.0
:11382917953_3,20.0
:11382917953_4,20.0
:11382917953_5,73.33333333333333
:11382917958_0,20.0
:11382917958_1,20.0
:11382917958_2,20.0
:11382917962_0,73.33333333333333
:11383041969_0,20.0
:11383041969_1,36.666666666666664
:11383041969_2,20.0
:11383041969_3,20.0
:11383041969_4,20.0
:11383041969_5,20.0
:11383041969_6,20.0
:11383041969_7,20.0
:11383041969_8,20.0
:11383041970_0,20.0
:11383041970_1,36.666666666666664
:11383041970_2,20.0
:11383041970_3,20.0
:11383041971_0,120.0
:11383041971_6,36.666666666666664
:11383041971_7,256.66666666666663
:11383041971_14,20.0
:11383041972_0,36.666666666666664
:11383041972_1,80.0
:11383041972_5,20.0
:11383041972_6,293.3333333333333
:11383041973_0,20.0
:11383041973_1,36.666666666666664
:11383041973_2,20.0
:11383041973_3,20.0
:11383041973_4,20.0
:11383041973_5,20.0
:11383041973_6,20.0
:11383041973_7,20.0
:11383041973_8,20.0
:11383041976_0,20.0
:11383041976_1,20.0
:11383041976_2,20.0
:11383041976_3,20.0
:11383041976_4,36.666666666666664
:11383041976_5,20.0
:11383041984_0,20.0
:11383041984_1,30.0
:11383041984_2,20.0
:11383041984_3,20.0
:11383041984_4,36.666666666666664
:11383041984_5,20.0
:11383041984_6,30.0
:11383041984_7,20.0
:11383041984_8,20.0
:11383041985_0,20.0
:11383041985_1,20.0
:11383041985_2,20.0
:11383041985_3,36.666666666666664
:11383041991_0,20.0
:11383041991_1,36.666666666666664
:11383041991_2,73.33333333333333
:11383041991_4,20.0
:11383041996_0,20.0
:11383041996_1,20.0
:11383041996_2,20.0
:11383042016_0,20.0
:11383042016_1,20.0
:11383042016_2,20.0
:11383042016_3,36.666666666666664
:11383042018_0,20.0
:11383042018_1,20.0
:11383042018_2,20.0
:11383042029_0,30.0
:11383042029_1,36.666666666666664
:11383042030_0,20.0
:11383042044_0,30.0
:11383042044_1,36.666666666666664
:11383042047_0,20.0
:11383042047_1,73.33333333333333
:11384892774_0,36.666666666666664
:11384892774_1,36.666666666666664
:11384892780_0,30.0
:11384892781_0,30.0
:11384892781_1,73.33333333333333
:11389755180_0,36.666666666666664
:11409525755_0,110.0
:11409525757_0,110.0
:11414290340_0,30.0
:11414306505_0,40.0
:11414306506_0,40.0
:11414306522_0,40.0
:11422390988_0,73.33333333333333
:11422390988_2,110.0
:11422390988_5,36.666666666666664
:11422390990_0,36.666666666666664
:11422390996_0,36.666666666666664
:11422390996_1,73.33333333333333
:11422391000_0,73.33333333333333
:11422391044_0,73.33333333333333
:11422391046_0,73.33333333333333
:11422391050_0,73.33333333333333
:11422391054_0,20.0
:11422391054_1,20.0
:11422391070_0,60.0
:11422391096_0,60.0
:11422391098_0,20.0
:11422391098_1,73.33333333333333
:11422391098_3,36.666666666666664
:11422391098_4,20.0
:11422669099_0,30.0
:11422669099_1,30.0
:11422669099_2,20.0
:11422669099_3,20.0
:11422669100_0,20.0
:11422669100_1,30.0
:11422669100_2,30.0
:11422669100_3,20.0
:11422669100_4,20.0
:11422669101_0,20.0
:11422669101_1,20.0
:11422669101_2,20.0
:11422669101_3,20.0
:11422669101_4,30.0
:11422669101_5,30.0
:11422669101_6,20.0
:11422669101_7,20.0
:11422669111_0,30.0
:11422669111_1,36.666666666666664
:11422669111_2,30.0
:11422669114_0,20.0
:11422669114_1,73.33333333333333
:11422669115_0,73.33333333333333
:11422669115_2,73.33333333333333
:11422669122_0,73.33333333333333
:11422669122_2,20.0
:11422669135_0,73.33333333333333
:11422669149_0,73.33333333333333
:11422669149_2,20.0
:11422669158_0,73.33333333333333
:11422669176_0,36.666666666666664
:11422669177_0,36.666666666666664
:11422669178_0,73.33333333333333
:11422669190_0,20.0
:11422669190_1,73.33333333333333
:11422669190_3,73.33333333333333
:11422669190_5,20.0
:11422669190_6,20.0
:11422669194_0,30.0
:11422669194_1,20.0
:11422669197_0,20.0
:11422669197_1,20.0
:11422669197_2,20.0
:11422669197_3,20.0
:11422669197_4,73.33333333333333
:11422669197_6,20.0
:11422669201_0,73.33333333333333
:11422669202_0,20.0
:11422669202_1,36.666666666666664
:11422669202_2,20.0
:11422761863_0,73.33333333333333
:11422761863_2,36.666666666666664
:11422903976_0,30.0
:11422903976_1,73.33333333333333
:11422903978_0,73.33333333333333
:11422903983_0,20.0
:11422903983_1,20.0
:11422903983_2,20.0
:11422903983_3,30.0
:11422903986_0,20.0
:11422903986_1,20.0
:11422903986_2,20.0
:11422903986_3,20.0
:11422903986_4,20.0
:11422903986_5,20.0
:11422903986_6,20.0
:11422903986_7,20.0
:11422903986_8,20.0
:11422903987_0,20.0
:11422903987_1,20.0
:11422903987_2,20.0
:11422903987_3,20.0
:11422903987_7,20.0
:11422903987_4,20.0
:11422903987_5,20.0
